county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
sarasota,08/20/2026,09:00 AM ET,0950136214,2026 TD 000117,3413.0000,,"MUNCEY RD, NORTH PORT, FL- 34291",,,3687.42,7248.0,08/20/2026 09:00 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.sc-pa.com/propertysearch/parcel/0950136214,www.sarasota.realtaxdeed.com,2026-08-17T11:26:10+00:00
sarasota,09/10/2026,09:00 AM ET,1000040038,2026 TD 000200,5232.0000,,"6812 HOLO CT, NORTH PORT, FL- 34287",,,11116.38,12400.0,09/10/2026 09:00 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/10/2026,http://www.sc-pa.com/propertysearch/parcel/1000040038,www.sarasota.realtaxdeed.com,2026-08-17T11:26:13+00:00
sarasota,09/10/2026,09:00 AM ET,2027034007,2026 TD 000274,8224.0000,,"107 S PINEAPPLE AVE, SARASOTA, FL- 34236",,,2566.79,42600.0,09/10/2026 09:00 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/10/2026,http://www.sc-pa.com/propertysearch/parcel/2027034007,www.sarasota.realtaxdeed.com,2026-08-17T11:26:13+00:00
