county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
marion,08/19/2026,09:00 AM ET,0051-103-015,4862016,4862016,,"NO SITUS, FORT MCCOY, FL- 32134",,,3919.74,4519.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=17922&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,09:00 AM ET,0052-017-018,5512021,5512021,,"NO SITUS, FORT MCCOY, FL- 32134",,,3248.06,5568.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=2420073&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,,1661-012-004,51622021,51622021,,"13180 NE 40TH PL, SILVER SPRINGS, FL- 34488",,,101151.83,191783.0,Redeemed,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=318248&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:10+00:00
marion,08/19/2026,09:00 AM ET,1741-005-006,62692017,62692017,,"NO SITUS, DUNNELLON, FL- 34432",,,13442.47,9647.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=346446&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,09:00 AM ET,1807-014-016,70092018,70092018,,"NO SITUS, DUNNELLON, FL- 34431",,,5519.68,6844.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=407381&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,09:00 AM ET,2001-002-020,87422017,87422017,,"NO SITUS, OCALA, FL- 34481",,,6934.09,3543.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=478008&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,09:00 AM ET,2001-003-012,87452017,87452017,,"NO SITUS, OCALA, FL- 34481",,,6878.12,3543.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=478172&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,09:00 AM ET,2001-004-009,87472017,87472017,,"NO SITUS, OCALA, FL- 34481",,,6821.28,3543.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=478342&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,09:00 AM ET,2001-004-021,87492017,87492017,,"NO SITUS, OCALA, FL- 34481",,,6941.77,3543.0,08/19/2026 09:00 AM ET,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=2709022&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
marion,08/19/2026,,2001-005-018,87552017,87552017,,"NO SITUS, OCALA, FL- 34481",,,6886.21,3543.0,Redeemed,TAXDEED,https://www.marion.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/19/2026,http://www.pa.marion.fl.us/PRC.aspx?key=478598&YR=2026&mName=False&mSitus=False,www.marion.realtaxdeed.com,2026-08-15T03:51:11+00:00
